m1,m2,length
"ATR Medio", 2007, 12600
"ATR Medio", 2012, 13700
"ATR Medio", 2015,131.44
"ATR Medio", 2006,130.18
"ATR Medio", 2008,138.35
"ATR Medio", 2005,132.61
"ATR Medio", 2009,130.35
"ATR Medio", 2014,136.52
"ATR Medio", 2011,143.51
"ATR Medio", 2016,129.22
"ATR Medio", 2013,133.43
"ATR Medio", 2010,139.96
"Etanol Anidro", 2005,9105448.1
"Etanol Anidro", 2006,8220715.8
"Etanol Anidro", 2015,11208500.4
"Etanol Anidro", 2014,11728042.3
"Etanol Anidro", 2016,11372503.9
"Etanol Anidro", 2007,8640050.3
"Etanol Anidro", 2012,9852373.1
"Etanol Anidro", 2013,11824427.7
"Etanol Anidro", 2011,9677885.0
"Etanol Anidro", 2010,8016983.0
"Etanol Anidro", 2008,10063711.1
"Etanol Anidro", 2009,6949840.2
"Etanol Hidratado", 2007,14367117.5
"Etanol Hidratado", 2006,9211462.2
"Etanol Hidratado", 2011,13749286.0
"Etanol Hidratado", 2008,16619713.8
"Etanol Hidratado", 2012,13788092.0
"Etanol Hidratado", 2015,19253024.1
"Etanol Hidratado", 2009,18812782.5
"Etanol Hidratado", 2005,7746040.5
"Etanol Hidratado", 2013,16132283.8
"Etanol Hidratado", 2016,16491447.9
"Etanol Hidratado", 2010,19578500.3
"Etanol Hidratado", 2014,16931881.4
"area", 2012,8485.0
"area", 2010,8056.1
"area", 2005,5840.3
"area", 2009,7409.5
"area", 2013,8811.4
"area", 2008,7057.9
"area", 2007,7010.2
"area", 2015,8654.8
"area", 2006,6163.3
"area", 2016,9110.9
"area", 2014,9004.5
"area", 2011,8362.6
"açucar", 2012,38336.9
"açucar", 2016,39814.8
"açucar", 2009,33074.7
"açucar", 2015,33489.1
"açucar", 2005,26420.1
"açucar", 2006,30223.6
"açucar", 2013,37878.3
"açucar", 2014,35560.2
"açucar", 2008,31620.2
"açucar", 2011,38271.8
"açucar", 2010,38168.4
"açucar", 2007,31279.7
"etanol Total", 2013,27956711.5
"etanol Total", 2010,27595483.3
"etanol Total", 2006,17432178.0
"etanol Total", 2005,0.0
"etanol Total", 2016,27863951.7
"etanol Total", 2008,26683424.9
"etanol Total", 2015,30461524.5
"etanol Total", 2009,25762622.7
"etanol Total", 2014,28659923.7
"etanol Total", 2007,23007167.8
"etanol Total", 2012,23640465.1
"etanol Total", 2011,23427171.0
"produtividade", 2013,74769.0
"produtividade", 2012,69407.0
"produtividade", 2008,80965.0
"produtividade", 2010,77446.0
"produtividade", 2009,81585.0
"produtividade", 2015,76903.0
"produtividade", 2007,81506.0
"produtividade", 2011,67081.0
"produtividade", 2005,74318.0
"produtividade", 2016,76232.0
"produtividade", 2006,77038.0
"produtividade", 2014,70495.0
"produção", 2010,623905.3
"produção", 2014,634767.0
"produção", 2006,474800.4
"produção", 2008,571434.3
"produção", 2013,658822.3
"produção", 2005,431413.4
"produção", 2012,588915.7
"produção", 2009,604513.7
"produção", 2015,665586.2
"produção", 2016,694544.8
"produção", 2011,560955.2
"produção", 2007,571370.7
